"","animal_id_intake","intake_type","intake_condition","time_in_shelter_days","animal_type","sex_upon_intake","age_upon_intake_(years)","age_upon_intake_age_group","breed","color","outcome_type","age","time_in_shelter_months","time_in_shelter_weeks","binary","trinary","fixed_or_not"
"4999","A695493","Stray","Normal",6,"Dog","Female",1,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Black","Adoption",1,0,1,0,"under_one_month","Intact"
"5000","A695494","Stray","Normal",7,"Dog","Female",4,"(2.5, 5.0]","Chihuahua Shorthair Mix","Tan","Adoption",4,0,1,0,"under_one_month","Intact"
"5001","A695495","Stray","Normal",7,"Dog","Female",4,"(2.5, 5.0]","Chihuahua Longhair Mix","Tan","Transfer",4,0,1,0,"under_one_month","Intact"
"5002","A695500","Stray","Normal",7,"Dog","Male",1,"(-0.025, 2.5]","Pug","Fawn","Transfer",1,0,1,0,"under_one_month","Fixed"
"5003","A695524","Stray","Injured",54,"Dog","Female",0.0575342465753425,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Black","Adoption",0.1,2,8,1,"over one month","Intact"
"5004","A695533","Stray","Normal",8,"Dog","Female",0.493150684931507,"(-0.025, 2.5]","Pit Bull Mix","Brown Brindle","Adoption",0.5,0,1,0,"under_one_month","Intact"
"5005","A695542","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Golden Retriever Mix","Brown","Return to Owner",1,0,1,0,"under_one_month","Fixed"
"5006","A695548","Public Assist","Normal",9,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Chocolate","Return to Owner",2,0,1,0,"under_one_month","Intact"
"5007","A695549","Stray","Normal",6,"Cat","Female",1,"(-0.025, 2.5]","Domestic Longhair Mix","Blue","Adoption",1,0,1,0,"under_one_month","Fixed"
"5008","A695556","Public Assist","Normal",6,"Dog","Male",0.904109589041096,"(-0.025, 2.5]","Pit Bull Mix","Black","Return to Owner",0.9,0,1,0,"under_one_month","Fixed"
"5009","A695569","Stray","Normal",8,"Dog","Male",1,"(-0.025, 2.5]","Pit Bull Mix","Blue","Adoption",1,0,1,0,"under_one_month","Fixed"
"5010","A695569","Stray","Normal",8,"Dog","Male",0.904109589041096,"(-0.025, 2.5]","Pit Bull Mix","Blue","Return to Owner",0.9,0,1,0,"under_one_month","Intact"
"5011","A695585","Stray","Normal",9,"Dog","Female",0.821917808219178,"(-0.025, 2.5]","Black Mouth Cur Mix","Tan","Adoption",0.8,0,1,0,"under_one_month","Intact"
"5012","A695587","Stray","Normal",6,"Dog","Female",0.73972602739726,"(-0.025, 2.5]","German Shepherd Mix","Black","Adoption",0.7,0,1,0,"under_one_month","Intact"
"5013","A695590","Owner Surrender","Normal",63,"Dog","Female",7,"(5.0, 7.5]","Pit Bull Mix","Yellow Brindle","Adoption",7,2,9,1,"over one month","Fixed"
"5014","A695600","Owner Surrender","Injured",8,"Dog","Female",0.821917808219178,"(-0.025, 2.5]","Pit Bull Mix","Brown","Return to Owner",0.8,0,1,0,"under_one_month","Intact"
"5015","A695602","Owner Surrender","Injured",9,"Dog","Female",0.821917808219178,"(-0.025, 2.5]","Pit Bull Mix","Brown Brindle","Transfer",0.8,0,1,0,"under_one_month","Intact"
"5016","A695623","Stray","Normal",6,"Dog","Female",1,"(-0.025, 2.5]","Chihuahua Shorthair","Tan","Adoption",1,0,1,0,"under_one_month","Intact"
"5017","A695626","Stray","Normal",59,"Dog","Female",9,"(7.5, 10.0]","Labrador Retriever Mix","Black","Adoption",9,2,8,1,"over one month","Fixed"
"5018","A695628","Owner Surrender","Normal",8,"Cat","Female",2,"(-0.025, 2.5]","Domestic Medium Hair Mix","Blue Tabby","Adoption",2,0,1,0,"under_one_month","Intact"
"5019","A695630","Stray","Normal",6,"Dog","Female",2,"(-0.025, 2.5]","German Shepherd Mix","Brown","Adoption",2,0,1,0,"under_one_month","Intact"
"5020","A695643","Stray","Normal",6,"Cat","Female",0.493150684931507,"(-0.025, 2.5]","Domestic Longhair","Black","Adoption",0.5,0,1,0,"under_one_month","Intact"
"5021","A695654","Stray","Sick",7,"Dog","Female",0.657534246575342,"(-0.025, 2.5]","Labrador Retriever Mix","Black","Euthanasia",0.7,0,1,0,"under_one_month","Intact"
"5022","A695656","Public Assist","Normal",9,"Dog","Male",0.0821917808219178,"(-0.025, 2.5]","Pit Bull Mix","White","Return to Owner",0.1,0,1,0,"under_one_month","Intact"
"5023","A695663","Owner Surrender","Normal",8,"Cat","Male",4,"(2.5, 5.0]","Domestic Shorthair Mix","Orange Tabby","Transfer",4,0,1,0,"under_one_month","Fixed"
"5024","A695673","Public Assist","Normal",9,"Dog","Female",0.493150684931507,"(-0.025, 2.5]","Pit Bull Mix","Brown Brindle","Return to Owner",0.5,0,1,0,"under_one_month","Intact"
"5025","A695675","Public Assist","Normal",9,"Dog","Male",0.410958904109589,"(-0.025, 2.5]","Dachshund","Chocolate","Adoption",0.4,0,1,0,"under_one_month","Intact"
"5026","A695680","Stray","Normal",7,"Dog","Male",2,"(-0.025, 2.5]","Great Pyrenees Mix","White","Adoption",2,0,1,0,"under_one_month","Intact"
"5027","A695703","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Pug","Buff","Adoption",1,0,1,0,"under_one_month","Intact"
"5028","A695707","Stray","Normal",7,"Dog","Female",2,"(-0.025, 2.5]","Pointer","White","Transfer",2,0,1,0,"under_one_month","Intact"
"5029","A695715","Public Assist","Normal",9,"Dog","Male",1,"(-0.025, 2.5]","Labrador Retriever","Black","Return to Owner",1,0,1,0,"under_one_month","Fixed"
"5030","A695716","Stray","Normal",6,"Dog","Female",0.0821917808219178,"(-0.025, 2.5]","Labrador Retriever Mix","Chocolate","Transfer",0.1,0,1,0,"under_one_month","Intact"
"5031","A695717","Public Assist","Normal",9,"Dog","Male",3,"(2.5, 5.0]","Pit Bull Mix","Black","Return to Owner",3,0,1,0,"under_one_month","Fixed"
"5032","A695717","Public Assist","Normal",9,"Dog","Male",3,"(2.5, 5.0]","Pit Bull Mix","Black","Return to Owner",3,0,1,0,"under_one_month","Fixed"
"5033","A695728","Owner Surrender","Normal",9,"Dog","Male",1,"(-0.025, 2.5]","Anatol Shepherd","Tan","Adoption",1,0,1,0,"under_one_month","Fixed"
"5034","A695734","Stray","Normal",7,"Dog","Female",2,"(-0.025, 2.5]","Labrador Retriever Mix","Black","Transfer",2,0,1,0,"under_one_month","Intact"
"5035","A695751","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Miniature Poodle Mix","White","Adoption",1,0,1,0,"under_one_month","Intact"
"5036","A695780","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Red","Adoption",1,0,1,0,"under_one_month","Intact"
"5037","A695794","Stray","Normal",6,"Dog","Female",1,"(-0.025, 2.5]","Alaskan Husky Mix","Black","Adoption",1,0,1,0,"under_one_month","Intact"
"5038","A695816","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Rottweiler Mix","Tricolor","Transfer",1,0,1,0,"under_one_month","Intact"
"5039","A695818","Stray","Normal",8,"Dog","Female",0.0821917808219178,"(-0.025, 2.5]","Boxer Mix","Black Brindle","Adoption",0.1,0,1,0,"under_one_month","Intact"
"5040","A695837","Stray","Injured",6,"Dog","Male",3,"(2.5, 5.0]","Miniature Pinscher","Black","Adoption",3,0,1,0,"under_one_month","Fixed"
"5041","A695844","Owner Surrender","Normal",52,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Brown Brindle","Adoption",2,2,7,1,"over one month","Fixed"
"5042","A695844","Stray","Normal",65,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Brown Brindle","Adoption",2,2,9,1,"over one month","Intact"
"5043","A695845","Stray","Normal",6,"Dog","Female",2,"(-0.025, 2.5]","Doberman Pinsch","Fawn","Transfer",2,0,1,0,"under_one_month","Intact"
"5044","A695861","Owner Surrender","Normal",8,"Cat","Female",7,"(5.0, 7.5]","Domestic Shorthair Mix","Torbie","Adoption",7,0,1,0,"under_one_month","Fixed"
"5045","A695864","Owner Surrender","Normal",8,"Cat","Female",7,"(5.0, 7.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",7,0,1,0,"under_one_month","Fixed"
"5046","A695871","Stray","Normal",50,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.1,2,7,1,"over one month","Intact"
"5047","A695872","Stray","Normal",50,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.1,2,7,1,"over one month","Intact"
"5048","A695884","Owner Surrender","Normal",53,"Dog","Male",3,"(2.5, 5.0]","Chow Chow Mix","Red","Transfer",3,2,8,1,"over one month","Fixed"
"5049","A695884","Stray","Normal",67,"Dog","Male",3,"(2.5, 5.0]","Chow Chow Mix","Red","Adoption",3,2,10,1,"over one month","Intact"
"5050","A695885","Stray","Normal",95,"Dog","Female",6,"(5.0, 7.5]","Australian Cattle Dog Mix","Red","Adoption",6,3,14,1,"over one month","Intact"
"5051","A695892","Stray","Nursing",7,"Cat","Female",3,"(2.5, 5.0]","Domestic Shorthair Mix","Torbie","Adoption",3,0,1,0,"under_one_month","Intact"
"5052","A695893","Stray","Nursing",9,"Cat","Female",1,"(-0.025, 2.5]","Domestic Medium Hair","Orange Tabby","Transfer",1,0,1,0,"under_one_month","Intact"
"5053","A695894","Stray","Nursing",7,"Cat","Female",3,"(2.5, 5.0]","Domestic Shorthair Mix","Torbie","Adoption",3,0,1,0,"under_one_month","Intact"
"5054","A695902","Stray","Normal",72,"Dog","Male",2,"(-0.025, 2.5]","Labrador Retriever Mix","White","Adoption",2,2,10,1,"over one month","Intact"
"5055","A695904","Stray","Normal",6,"Dog","Male",0.493150684931507,"(-0.025, 2.5]","Border Collie Mix","Tricolor","Transfer",0.5,0,1,0,"under_one_month","Fixed"
"5056","A695911","Stray","Normal",6,"Dog","Male",0.657534246575342,"(-0.025, 2.5]","Labrador Retriever Mix","Black","Adoption",0.7,0,1,0,"under_one_month","Intact"
"5057","A695916","Stray","Normal",6,"Dog","Female",2,"(-0.025, 2.5]","Boxer Mix","Brown","Adoption",2,0,1,0,"under_one_month","Intact"
"5058","A695917","Stray","Normal",6,"Dog","Female",0.0821917808219178,"(-0.025, 2.5]","Chihuahua Shorthair","Black","Adoption",0.1,0,1,0,"under_one_month","Intact"
"5059","A695919","Stray","Normal",7,"Dog","Male",2,"(-0.025, 2.5]","Boxer Mix","Brown Brindle","Adoption",2,0,1,0,"under_one_month","Intact"
"5060","A695921","Owner Surrender","Normal",8,"Cat","Male",0.657534246575342,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.7,0,1,0,"under_one_month","Fixed"
"5061","A695922","Owner Surrender","Normal",7,"Dog","Female",6,"(5.0, 7.5]","Beagle","Tricolor","Adoption",6,0,1,0,"under_one_month","Fixed"
"5062","A695922","Stray","Normal",6,"Dog","Female",5,"(2.5, 5.0]","Beagle","Tricolor","Adoption",5,0,1,0,"under_one_month","Intact"
"5063","A695924","Stray","Normal",8,"Dog","Female",2,"(-0.025, 2.5]","Labrador Retriever Mix","Yellow","Adoption",2,0,1,0,"under_one_month","Intact"
"5064","A695942","Stray","Normal",6,"Dog","Male",4,"(2.5, 5.0]","Chihuahua Shorthair Mix","Buff","Adoption",4,0,1,0,"under_one_month","Intact"
"5065","A695955","Stray","Feral",7,"Cat","Male",2,"(-0.025, 2.5]","Domestic Medium Hair Mix","Blue","Return to Owner",2,0,1,0,"under_one_month","Fixed"
"5066","A695962","Stray","Injured",56,"Dog","Female",0.0575342465753425,"(-0.025, 2.5]","German Shepherd Mix","Brown","Adoption",0.1,2,8,1,"over one month","Intact"
"5067","A695969","Owner Surrender","Normal",9,"Cat","Female",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",1,0,1,0,"under_one_month","Intact"
"5068","A695973","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Tan","Return to Owner",1,0,1,0,"under_one_month","Intact"
"5069","A695978","Stray","Sick",9,"Dog","Male",7,"(5.0, 7.5]","Chihuahua Shorthair Mix","Black","Transfer",7,0,1,0,"under_one_month","Intact"
"5070","A695981","Stray","Injured",66,"Dog","Male",2,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Brown","Adoption",2,2,9,1,"over one month","Intact"
"5071","A695987","Owner Surrender","Normal",6,"Dog","Female",1,"(-0.025, 2.5]","Pit Bull Mix","Brown Brindle","Adoption",1,0,1,0,"under_one_month","Fixed"
"5072","A695988","Stray","Normal",98,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Tan","Transfer",2,3,14,1,"over one month","Intact"
"5073","A695990","Stray","Normal",6,"Dog","Male",2,"(-0.025, 2.5]","Boxer Mix","White","Return to Owner",2,0,1,0,"under_one_month","Fixed"
"5074","A695991","Stray","Normal",6,"Dog","Female",1,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Brown","Adoption",1,0,1,0,"under_one_month","Intact"
"5075","A696005","Stray","Normal",7,"Dog","Female",0.410958904109589,"(-0.025, 2.5]","Dachshund Wirehair","Buff","Transfer",0.4,0,1,0,"under_one_month","Intact"
"5076","A696008","Public Assist","Normal",9,"Dog","Male",1,"(-0.025, 2.5]","Australian Cattle Dog","Sable","Return to Owner",1,0,1,0,"under_one_month","Fixed"
"5077","A696025","Stray","Normal",8,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Brown Brindle","Adoption",2,0,1,0,"under_one_month","Intact"
"5078","A696027","Owner Surrender","Normal",7,"Dog","Male",2,"(-0.025, 2.5]","Cardigan Welsh Corgi Mix","Black","Adoption",2,0,1,0,"under_one_month","Fixed"
"5079","A696044","Stray","Injured",6,"Cat","Male",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",1,0,1,0,"under_one_month","Intact"
"5080","A696047","Owner Surrender","Normal",59,"Dog","Female",0.904109589041096,"(-0.025, 2.5]","Collie Smooth Mix","White","Adoption",0.9,2,8,1,"over one month","Fixed"
"5081","A696058","Owner Surrender","Normal",8,"Dog","Male",2,"(-0.025, 2.5]","Basset Hound","Brown","Adoption",2,0,1,0,"under_one_month","Fixed"
"5082","A696059","Public Assist","Normal",8,"Dog","Male",3,"(2.5, 5.0]","Chihuahua Shorthair Mix","Tan","Adoption",3,0,1,0,"under_one_month","Intact"
"5083","A696083","Owner Surrender","Normal",70,"Dog","Female",3,"(2.5, 5.0]","Pit Bull Mix","Blue","Adoption",3,2,10,1,"over one month","Fixed"
"5084","A696083","Stray","Normal",75,"Dog","Female",3,"(2.5, 5.0]","Pit Bull Mix","Blue","Adoption",3,2,11,1,"over one month","Intact"
"5085","A696100","Stray","Normal",6,"Dog","Male",5,"(2.5, 5.0]","Dachshund Mix","Chocolate","Adoption",5,0,1,0,"under_one_month","Fixed"
"5086","A696105","Stray","Normal",6,"Dog","Female",4,"(2.5, 5.0]","Chihuahua Longhair Mix","Black","Adoption",4,0,1,0,"under_one_month","Intact"
"5087","A696115","Stray","Normal",6,"Cat","Male",0.73972602739726,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.7,0,1,0,"under_one_month","Fixed"
"5088","A696118","Stray","Normal",6,"Dog","Female",4,"(2.5, 5.0]","Miniature Poodle","Cream","Adoption",4,0,1,0,"under_one_month","Intact"
"5089","A696127","Stray","Normal",8,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Tan","Return to Owner",2,0,1,0,"under_one_month","Fixed"
"5090","A696132","Stray","Normal",9,"Dog","Female",1,"(-0.025, 2.5]","Border Collie","Red","Adoption",1,0,1,0,"under_one_month","Fixed"
"5091","A696134","Stray","Normal",63,"Cat","Male",2,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",2,2,9,1,"over one month","Intact"
"5092","A696135","Stray","Normal",7,"Dog","Male",0.328767123287671,"(-0.025, 2.5]","Jack Russell Terrier Mix","Black","Adoption",0.3,0,1,0,"under_one_month","Intact"
"5093","A696173","Stray","Normal",6,"Dog","Male",5,"(2.5, 5.0]","Chihuahua Shorthair Mix","Chocolate","Transfer",5,0,1,0,"under_one_month","Intact"
"5094","A696204","Stray","Normal",7,"Dog","Male",0.821917808219178,"(-0.025, 2.5]","German Shepherd Mix","Black","Adoption",0.8,0,1,0,"under_one_month","Intact"
"5095","A696214","Owner Surrender","Normal",7,"Dog","Female",1,"(-0.025, 2.5]","Australian Cattle Dog Mix","Black","Return to Owner",1,0,1,0,"under_one_month","Fixed"
"5096","A696218","Stray","Normal",6,"Cat","Male",0.410958904109589,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.4,0,1,0,"under_one_month","Intact"
"5097","A696219","Stray","Injured",93,"Cat","Female",2,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",2,3,13,1,"over one month","Fixed"
"5098","A696221","Public Assist","Normal",9,"Dog","Male",8,"(7.5, 10.0]","Rat Terrier Mix","Tricolor","Return to Owner",8,0,1,0,"under_one_month","Fixed"
"5099","A696225","Stray","Normal",7,"Dog","Female",5,"(2.5, 5.0]","Labrador Retriever","Chocolate","Transfer",5,0,1,0,"under_one_month","Fixed"
"5100","A696232","Stray","Normal",9,"Dog","Female",0.821917808219178,"(-0.025, 2.5]","German Shepherd Mix","White","Adoption",0.8,0,1,0,"under_one_month","Intact"
"5101","A696235","Stray","Normal",6,"Dog","Male",5,"(2.5, 5.0]","Australian Shepherd Mix","Red Merle","Transfer",5,0,1,0,"under_one_month","Intact"
"5102","A696247","Owner Surrender","Normal",70,"Dog","Female",2,"(-0.025, 2.5]","Pointer Mix","Chocolate","Adoption",2,2,10,1,"over one month","Fixed"
"5103","A696247","Stray","Normal",98,"Dog","Female",2,"(-0.025, 2.5]","Pointer Mix","Chocolate","Adoption",2,3,14,1,"over one month","Fixed"
"5104","A696258","Stray","Normal",7,"Dog","Female",2,"(-0.025, 2.5]","Beagle Mix","Tricolor","Adoption",2,0,1,0,"under_one_month","Intact"
"5105","A696259","Stray","Normal",63,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Blue","Adoption",2,2,9,1,"over one month","Intact"
"5106","A696262","Owner Surrender","Normal",6,"Dog","Female",8,"(7.5, 10.0]","Chihuahua Shorthair","Brown","Adoption",8,0,1,0,"under_one_month","Fixed"
"5107","A696264","Owner Surrender","Normal",7,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Chocolate","Euthanasia",2,0,1,0,"under_one_month","Fixed"
"5108","A696286","Owner Surrender","Normal",9,"Dog","Female",3,"(2.5, 5.0]","Labrador Retriever Mix","Chocolate","Adoption",3,0,1,0,"under_one_month","Fixed"
"5109","A696287","Stray","Normal",7,"Dog","Female",2,"(-0.025, 2.5]","German Shepherd Mix","Black","Transfer",2,0,1,0,"under_one_month","Fixed"
"5110","A696291","Stray","Normal",8,"Dog","Male",2,"(-0.025, 2.5]","Miniature Poodle Mix","Gray","Adoption",2,0,1,0,"under_one_month","Intact"
"5111","A696293","Stray","Normal",8,"Dog","Female",2,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Tan","Adoption",2,0,1,0,"under_one_month","Intact"
"5112","A696296","Stray","Normal",55,"Dog","Male",2,"(-0.025, 2.5]","Labrador Retriever Mix","White","Adoption",2,2,8,1,"over one month","Intact"
"5113","A696304","Stray","Normal",62,"Dog","Female",1,"(-0.025, 2.5]","Pit Bull Mix","White","Adoption",1,2,9,1,"over one month","Fixed"
"5114","A696317","Owner Surrender","Normal",6,"Dog","Female",0.657534246575342,"(-0.025, 2.5]","Pharaoh Hound Mix","Tan","Adoption",0.7,0,1,0,"under_one_month","Intact"
"5115","A696324","Stray","Sick",55,"Dog","Female",3,"(2.5, 5.0]","Pit Bull Mix","Blue","Adoption",3,2,8,1,"over one month","Fixed"
"5116","A696345","Owner Surrender","Normal",6,"Dog","Female",1,"(-0.025, 2.5]","Pointer Mix","White","Transfer",1,0,1,0,"under_one_month","Fixed"
"5117","A696346","Stray","Normal",6,"Dog","Female",3,"(2.5, 5.0]","Havanese Mix","White","Transfer",3,0,1,0,"under_one_month","Intact"
"5118","A696347","Stray","Normal",6,"Dog","Female",2,"(-0.025, 2.5]","Rat Terrier Mix","White","Adoption",2,0,1,0,"under_one_month","Intact"
"5119","A696348","Stray","Normal",6,"Dog","Male",2,"(-0.025, 2.5]","Parson Russell Terrier Mix","Tricolor","Transfer",2,0,1,0,"under_one_month","Intact"
"5120","A696349","Owner Surrender","Normal",8,"Dog","Male",2,"(-0.025, 2.5]","German Shepherd Mix","Tricolor","Adoption",2,0,1,0,"under_one_month","Fixed"
"5121","A696357","Stray","Normal",6,"Dog","Female",0.410958904109589,"(-0.025, 2.5]","Labrador Retriever","Black","Adoption",0.4,0,1,0,"under_one_month","Intact"
"5122","A696358","Owner Surrender","Normal",8,"Cat","Female",4,"(2.5, 5.0]","Domestic Shorthair Mix","Brown Tabby","Transfer",4,0,1,0,"under_one_month","Fixed"
"5123","A696361","Owner Surrender","Normal",9,"Dog","Male",5,"(2.5, 5.0]","Boxer Mix","Brown","Adoption",5,0,1,0,"under_one_month","Fixed"
"5124","A696367","Stray","Normal",9,"Dog","Male",3,"(2.5, 5.0]","Australian Cattle Dog Mix","Red Tick","Adoption",3,0,1,0,"under_one_month","Intact"
"5125","A696370","Stray","Normal",6,"Cat","Male",1,"(-0.025, 2.5]","Domestic Medium Hair Mix","Orange Tabby","Return to Owner",1,0,1,0,"under_one_month","Fixed"
"5126","A696373","Stray","Normal",9,"Cat","Male",9,"(7.5, 10.0]","Domestic Shorthair Mix","Orange Tabby","Return to Owner",9,0,1,0,"under_one_month","Fixed"
"5127","A696407","Stray","Normal",8,"Dog","Female",2,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Tricolor","Adoption",2,0,1,0,"under_one_month","Intact"
"5128","A696410","Stray","Normal",7,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Transfer",0.2,0,1,0,"under_one_month","Intact"
"5129","A696411","Stray","Normal",7,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Tortie","Adoption",0.1,0,1,0,"under_one_month","Intact"
"5130","A696412","Stray","Normal",6,"Cat","Male",0.657534246575342,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.7,0,1,0,"under_one_month","Intact"
"5131","A696419","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Labrador Retriever","White","Adoption",1,0,1,0,"under_one_month","Intact"
"5132","A696431","Stray","Normal",52,"Dog","Female",3,"(2.5, 5.0]","Pit Bull Mix","White","Adoption",3,2,7,1,"over one month","Intact"
"5133","A696439","Stray","Normal",7,"Dog","Male",0.821917808219178,"(-0.025, 2.5]","Labrador Retriever","Cream","Transfer",0.8,0,1,0,"under_one_month","Intact"
"5134","A696441","Stray","Normal",9,"Dog","Male",1,"(-0.025, 2.5]","American Staffordshire Terrier Mix","Silver","Adoption",1,0,1,0,"under_one_month","Intact"
"5135","A696475","Stray","Normal",6,"Dog","Female",1,"(-0.025, 2.5]","Blue Lacy Mix","Fawn","Adoption",1,0,1,0,"under_one_month","Intact"
"5136","A696483","Public Assist","Normal",7,"Dog","Male",3,"(2.5, 5.0]","Bull Terrier Mix","Black","Return to Owner",3,0,1,0,"under_one_month","Intact"
"5137","A696485","Stray","Normal",7,"Dog","Female",0.73972602739726,"(-0.025, 2.5]","Blue Lacy Mix","Blue","Adoption",0.7,0,1,0,"under_one_month","Fixed"
"5138","A696497","Stray","Normal",6,"Dog","Male",0.328767123287671,"(-0.025, 2.5]","German Shepherd","White","Adoption",0.3,0,1,0,"under_one_month","Intact"
"5139","A696498","Stray","Normal",6,"Dog","Male",2,"(-0.025, 2.5]","Pointer","White","Adoption",2,0,1,0,"under_one_month","Intact"
"5140","A696501","Stray","Normal",96,"Dog","Male",4,"(2.5, 5.0]","Pit Bull Mix","Red","Transfer",4,3,14,1,"over one month","Intact"
"5141","A696511","Stray","Normal",93,"Dog","Female",4,"(2.5, 5.0]","Catahoula Mix","Brown Brindle","Adoption",4,3,13,1,"over one month","Intact"
"5142","A696513","Owner Surrender","Normal",7,"Dog","Female",2,"(-0.025, 2.5]","Pit Bull Mix","Fawn","Transfer",2,0,1,0,"under_one_month","Intact"
"5143","A696520","Stray","Normal",54,"Dog","Female",2,"(-0.025, 2.5]","Pit Bull Mix","Brown Brindle","Euthanasia",2,2,8,1,"over one month","Intact"
"5144","A696533","Stray","Normal",9,"Dog","Female",0.246575342465753,"(-0.025, 2.5]","Australian Cattle Dog Mix","Tan","Adoption",0.2,0,1,0,"under_one_month","Intact"
"5145","A696536","Stray","Sick",9,"Dog","Female",4,"(2.5, 5.0]","Pit Bull Mix","White","Transfer",4,0,1,0,"under_one_month","Intact"
"5146","A696538","Stray","Normal",6,"Dog","Female",0.246575342465753,"(-0.025, 2.5]","Australian Cattle Dog Mix","Brown Merle","Adoption",0.2,0,1,0,"under_one_month","Intact"
"5147","A696539","Stray","Normal",8,"Dog","Male",0.246575342465753,"(-0.025, 2.5]","Australian Cattle Dog Mix","Tan","Adoption",0.2,0,1,0,"under_one_month","Intact"
"5148","A696540","Stray","Normal",66,"Dog","Male",5,"(2.5, 5.0]","Pit Bull Mix","Brown","Euthanasia",5,2,9,1,"over one month","Intact"
"5149","A696564","Owner Surrender","Normal",94,"Dog","Female",5,"(2.5, 5.0]","Labrador Retriever Mix","Black","Transfer",5,3,13,1,"over one month","Fixed"
"5150","A696568","Stray","Normal",7,"Dog","Male",0.821917808219178,"(-0.025, 2.5]","Great Dane Mix","Black","Adoption",0.8,0,1,0,"under_one_month","Intact"
"5151","A696575","Owner Surrender","Normal",79,"Cat","Female",13,"(12.5, 15.0]","Domestic Longhair Mix","Tortie","Adoption",13,3,11,1,"over one month","Fixed"
"5152","A696582","Stray","Normal",9,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Brown","Return to Owner",2,0,1,0,"under_one_month","Intact"
"5153","A696586","Owner Surrender","Normal",7,"Dog","Male",1,"(-0.025, 2.5]","Australian Shepherd Mix","Brown","Adoption",1,0,1,0,"under_one_month","Intact"
"5154","A696589","Stray","Normal",8,"Dog","Male",1,"(-0.025, 2.5]","Labrador Retriever Mix","Black","Adoption",1,0,1,0,"under_one_month","Fixed"
"5155","A696603","Stray","Normal",6,"Dog","Female",2,"(-0.025, 2.5]","German Shepherd Mix","Black","Adoption",2,0,1,0,"under_one_month","Intact"
"5156","A696605","Owner Surrender","Normal",7,"Dog","Male",3,"(2.5, 5.0]","Labrador Retriever Mix","Brown","Adoption",3,0,1,0,"under_one_month","Fixed"
"5157","A696605","Public Assist","Normal",63,"Dog","Male",3,"(2.5, 5.0]","Labrador Retriever Mix","Brown","Adoption",3,2,9,1,"over one month","Intact"
"5158","A696606","Owner Surrender","Normal",75,"Dog","Male",2,"(-0.025, 2.5]","Labrador Retriever Mix","White","Adoption",2,2,11,1,"over one month","Fixed"
"5159","A696606","Public Assist","Normal",63,"Dog","Male",2,"(-0.025, 2.5]","Labrador Retriever Mix","White","Adoption",2,2,9,1,"over one month","Intact"
"5160","A696613","Stray","Normal",7,"Dog","Male",3,"(2.5, 5.0]","Chihuahua Shorthair Mix","Chocolate","Adoption",3,0,1,0,"under_one_month","Intact"
"5161","A696623","Stray","Normal",7,"Dog","Male",1,"(-0.025, 2.5]","Blue Lacy Mix","Blue","Adoption",1,0,1,0,"under_one_month","Intact"
